src_ips,dst_ips,src_ports,dst_ports,protocols,durations,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat
192.168.0.197,44.199.59.177,61849,443,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,44.199.59.177,61849,443,TCP,166,166,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
13.67.10.228,192.168.0.197,443,51043,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,211,211,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,23.21.138.80,61848,443,TCP,1036,1036,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
44.199.59.177,192.168.0.197,443,61849,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
44.199.59.177,192.168.0.197,443,61849,TCP,211,211,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,44.199.59.177,61849,443,TCP,307,307,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
44.199.59.177,192.168.0.197,443,61849,TCP,94,94,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,44.199.59.177,61849,443,TCP,369,369,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,1150,1150,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,23.21.138.80,61848,443,TCP,923,923,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,192.168.0.1,57155,53,UDP,64,64,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.1,192.168.0.197,53,57155,UDP,515,515,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,34.201.203.139,61851,443,TCP,52,52,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,138.199.14.80,51046,443,TCP,41,41,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
44.199.59.177,192.168.0.197,443,61849,TCP,574,574,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
138.199.14.80,192.168.0.197,443,51046,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,138.199.14.80,51046,443,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,44.199.59.177,61849,443,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,470,470,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,196,196,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,199,199,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,23.21.138.80,61848,443,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,23.21.138.80,61848,443,TCP,153,153,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
138.199.14.80,192.168.0.197,443,51046,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
34.201.203.139,192.168.0.197,443,61851,TCP,52,52,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,34.201.203.139,61851,443,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
192.168.0.197,34.201.203.139,61851,443,TCP,351,351,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
23.21.138.80,192.168.0.197,443,61848,TCP,40,40,0,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
